,Game,AgeRestriction,GameDescription,Reviews,ReviewSentiment,ReleaseDate,Developer,FullPrice,DiscountedPrice,PEGI,MetacriticScore,Type,LastUpdate,GamesLanguages,GameFeatures,DRM Notice,GameAchievements,CuratorReviews
0,Call of Duty®: Modern Warfare® II,Yes,O Call of Duty®: Modern Warfare® II coloca os jogadores dentro de um conflito global sem precedentes que conta com o retorno dos Operadores icônicos da Força-Tarefa 141.,"Análises em geral:
Neutras (200,734 análises)",Neutras,28/out./2022,"Infinity Ward, Raven Software, Beenox, , , , , ,","R$ 299,90","R$ 194,93",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,,Ação,Ver todas as atualizações (última: hoje),Ver todos os 14 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Multijogador multiplataforma
Conquistas Steam
Compat. total com controle
Legendas disponíveis
Compras em aplicativo",Not required,Inclui 24 Conquistas Steam,389 curadores analisaram este produto. Clique aqui para saber quais.
1,Call of Duty®: Modern Warfare® II - BlackCell (Temporada 03),Yes,,"Análises em geral:
Ligeiramente positivas (108 análises)",Ligeiramente positivas,12/abr./2023,"Infinity Ward, Raven Software, Beenox, , , , , ,","R$ 156,00",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,,Ação,Ver todas as atualizações (última: hoje),Ver todos os 14 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Multijogador multiplataforma
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Legendas disponíveis
Compras em aplicativo",Not required,0,0
2,Counter-Strike: Global Offensive,No,"O Counter-Strike: Global Offensive (CS:GO) melhora a jogabilidade de ação baseada em equipes na qual foi pioneiro quando lançado há 19 anos. O CS:GO contém novos mapas, personagens e armas, além de contar com versões atualizadas de conteúdos do CS clássico (como de_dust2).","Análises em geral:
Muito positivas (7,124,653 análises)",Muito positivas,21/ago./2012,"Valve, Hidden Path Entertainment",Gratuito p/ Jogar,0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,83,"Ação, Gratuito p/ Jogar",Ver todas as atualizações (última: 31 de mar.),Ver todos os 28 idiomas disponíveis,"Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Oficina Steam
Compras em aplicativo
Usa Valve Antitrapaça
Estatísticas
Remote Play no celular
Remote Play no tablet
Remote Play na TV",Not required,Inclui 167 Conquistas Steam,"17,265 curadores analisaram este produto. Clique aqui para saber quais."
3,EA SPORTS™ FIFA 23,No,"FIFA 23 traz o Jogo de Todo Mundo aos gramados com a tecnologia HyperMotion2, a FIFA World Cup™ masculina e feminina (lançamento durante a temporada), times femininos, recursos de crossplay* e muito mais.","Análises em geral:
Neutras (81,445 análises)",Neutras,29/set./2022,EA Canada & EA Romania,"R$ 299,00","R$ 89,70",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Simulação, Esportes",Ver todas as atualizações (última: 22 de mar.),Ver todos os 21 idiomas disponíveis,"Um jogador
JxJ on-line
JxJ tela dividida/compart.
Cooperativo on-line
Coop. tela dividida/compart.
Multijogador multiplataforma
Conquistas Steam
Compat. total com controle
Compras em aplicativo",Requer aceitação de contrato de terceiros,Inclui 39 Conquistas Steam,126 curadores analisaram este produto. Clique aqui para saber quais.
4,PUBG: BATTLEGROUNDS,No,"Jogue PUBG: BATTLEGROUNDS de graça. Pouse em locais estratégicos, saqueie armas e suprimentos e sobreviva para se tornar a última equipe de pé nos mais variados campos de batalha.","Análises em geral:
Neutras (2,164,320 análises)",Neutras,21/dez./2017,"KRAFTON, Inc.",Gratuito p/ Jogar,0,,,"Ação, Aventura, Gratuito p/ Jogar, Multijogador Massivo",Ver todas as atualizações (última: 5 de abr.),Ver todos os 17 idiomas disponíveis,"JxJ on-line
Estatísticas
Remote Play no celular
Remote Play no tablet",Requer aceitação de contrato de terceiros,Inclui 37 Conquistas Steam,"2,354 curadores analisaram este produto. Clique aqui para saber quais."
5,Lost Ark,Yes,"Embarque numa odisseia pela Arca Perdida num mundo vasto e vibrante: explore novas terras, procure tesouros perdidos e teste-se num combate de ação emocionante neste RPG grátis para jogar. ","Análises em geral:
Ligeiramente positivas (191,376 análises)",Neutras,11/fev./2022,Smilegate RPG,Gratuito para jogar,0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,,"Ação, Aventura, Gratuito p/ Jogar, Multijogador Massivo, RPG",Ver todas as atualizações (última: ontem),1,"Um jogador
MMO
JxJ on-line
Cooperativo on-line
Conquistas Steam
Compras em aplicativo
Compat. parcial com controle",Requer aceitação de contrato de terceiros,Inclui 156 Conquistas Steam,267 curadores analisaram este produto. Clique aqui para saber quais.
6,Resident Evil 4,Yes,"Sobrevivência é apenas o começo. Seis anos se passaram desde o desastre biológico em Raccoon City. Leon S. Kennedy, um dos sobreviventes, segue o rastro da raptada filha do presidente até uma vila europeia isolada, onde há algo terrivelmente errado com os habitantes.","Análises em geral:
Extremamente positivas (41,624 análises)",Extremamente positivas,23/mar./2023,"CAPCOM Co., Ltd.","R$ 249,00",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,,"Ação, Aventura",,Ver todos os 13 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam",Requer aceitação de contrato de terceiros,Inclui 39 Conquistas Steam,220 curadores analisaram este produto. Clique aqui para saber quais.
7,Cyberpunk 2077,Yes,"Cyberpunk 2077 é um RPG de ação e aventura em mundo aberto que se passa em Night City, uma megalópole perigosa onde todos são obcecados por poder, glamour e alterações corporais.","Análises em geral:
Ligeiramente positivas (529,616 análises)",Muito positivas,9/dez./2020,CD PROJEKT RED,"R$ 199,90","R$ 99,95",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,86,RPG,Ver todas as atualizações (última: ontem),Ver todos os 18 idiomas disponíveis,"Um jogador
Conquistas Steam
Cartas Colecionáveis Steam
Compat. parcial com controle
Nuvem Steam",Requer aceitação de contrato de terceiros,Inclui 44 Conquistas Steam,"1,387 curadores analisaram este produto. Clique aqui para saber quais."
8,Wartales,No,"Wartales é um RPG de mundo aberto no qual você lidera um grupo de mercenários em busca de riqueza em um universo medieval gigantesco. Explore o mundo, recrute companheiros, cace recompensas e desvende os segredos de túmulos dos antepassados!","Análises em geral:
Muito positivas (9,392 análises)",Muito positivas,12/abr./2023,Shiro Games,"R$ 129,99","R$ 97,49",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Aventura, Indie, RPG, Estratégia",Ver todas as atualizações (última: 30 de mar.),Ver todos os 8 idiomas disponíveis,"Um jogador
Cooperativo on-line
Conquistas Steam
Nuvem Steam",Not required,Inclui 115 Conquistas Steam,101 curadores analisaram este produto. Clique aqui para saber quais.
9,Black Desert,No,"Um MMORPG à frente do seu tempo, com gráficos mais vivos e áudio mais realista. Batalhas e guerras, exploração e comércio, Pesca, treinamento, alquimia, culinária, coleta, caça e muito mais! Um mundo aberto com muitas possibilidades para você desfrutar. Black Desert, um MMORPG de Verdade!","Análises em geral:
Ligeiramente positivas (46,711 análises)",Ligeiramente positivas,15/nov./2017,Pearl Abyss,"R$ 17,46",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,73,"Ação, Aventura, Multijogador Massivo, RPG, Simulação, Estratégia",Ver todas as atualizações (última: 20 de jan.),Ver todos os 11 idiomas disponíveis,"MMO
JxJ on-line
Cooperativo on-line
Cartas Colecionáveis Steam
Compras em aplicativo
Compat. parcial com controle",Requer aceitação de contrato de terceiros,Itens disponíveis na loja de pontos,529 curadores analisaram este produto. Clique aqui para saber quais.
10,Dota 2,No,"Diariamente, milhões de jogadores mundo afora batalham como um dentre os mais de cem heróis do Dota. Estejam jogando há 10 ou 1.000 horas, há sempre algo novo para descobrir. Com atualizações constantes das mecânicas, recursos e heróis, o Dota 2 se tornou mais que um simples jogo.","Análises em geral:
Muito positivas (1,961,252 análises)",Ligeiramente positivas,9/jul./2013,Valve,Gratuito p/ Jogar,0,,90,"Ação, Gratuito p/ Jogar, Estratégia",Ver todas as atualizações (última: 17 de mar.),Ver todos os 28 idiomas disponíveis,"Cartas Colecionáveis Steam
Oficina Steam
Colecionáveis do SteamVR
Compras em aplicativo
Usa Valve Antitrapaça",Not required,Itens disponíveis na loja de pontos,"2,998 curadores analisaram este produto. Clique aqui para saber quais."
11,Metro Exodus,No,"Escape das ruínas do metrô de Moscou e embarque em uma jornada incrível pela Rússia pós-apocalíptica. Explore mapas não lineares enormes, sinta toda a experiência e imersão de um jogo de sobrevivência de mundo aberto. Descubra uma história emocionante que dura um ano inteiro na maior aventura no universo Metro de todos os tempos.","Análises em geral:
Muito positivas (75,054 análises)",Muito positivas,14/fev./2019,4A Games,"R$ 56,00","R$ 14,00",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,85,Ação,Ver todas as atualizações (última: 1 de mar.),Ver todos os 14 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Remote Play no celular
Remote Play no tablet
Remote Play na TV",Requer aceitação de contrato de terceiros,Inclui 68 Conquistas Steam,668 curadores analisaram este produto. Clique aqui para saber quais.
